1
Washington,17,11,6,.647,12.68,3.92,1,3,8,2,1,2,1217,1068,,685,423,924,.458,102,322,.317,269,379,.710,153,616,220,126,107,257,278
Weber State,16,5,11,.313,-10.58,1.42,1,4,4,3,1,4,1122,1111,,640,414,915,.452,120,350,.343,174,258,.674,127,506,214,91,61,190,218
West Virginia,16,14,2,.875,21.84,9.03,3,1,8,0,3,2,1153,948,,640,407,935,.435,87,287,.303,252,388,.649,227,671,208,122,68,243,302
Western Carolina,15,12,3,.800,1.02,-3.37,4,0,7,0,5,3,1236,1094,,610,424,896,.473,159,411,.387,229,325,.705,165,589,223,85,29,225,264


Western Illinois,15,5,10,.333,-13.60,-3.37,2,3,4,5,1,5,1152,1207,,600,426,977,.436,126,335,.376,174,225,.773,125,520,167,79,30,159,251
Western Kentucky,16,10,6,.625,3.19,-0.01,3,1,6,1,2,3,1238,1147,,650,432,919,.470,116,334,.347,258,335,.770,134,554,191,96,69,208,224
Western Michigan,17,8,9,.471,-6.61,-0.67,1,3,6,2,2,5,1230,1250,,695,415,981,.423,120,390,.308,280,387,.724,148,589,194,93,36,199,310
Wichita State,16,15,1,.938,16.48,2.79,3,0,12,0,2,0,1241,1022,,650,425,1007,.422,126,367,.343,265,381,.696,208,648,241,127,66,202,306
William & Mary,18,13,5,.722,0.04,-3.37,5,0,6,0,7,4,1329,1211,,720,484,1014,.477,144,394,.365,217,295,.736,146,673,253,87,64,226,277
Winthrop,17,10,7,.588,2.48,-1.46,4,0,6,2,4,5,1373,1226,,695,495,1090,.454,166,476,.349,217,360,.603,225,692,271,117,39,244,336
Wisconsin,17,11,6,.647,15.61,8.26,4,2,8,1,3,2,1142,1017,,685,400,920,.435,131,397,.330,211,274,.770,142,577,193,85,63,181,267
Wofford,17,11,6,.647,0.12,-1.35,3,1,7,1,4,5,1257,1166,,690,442,963,.459,177,467,.379,196,260,.754,141,522,227,104,48,197,293
Wright State,19,15,4,.789,2.41,-6.53,5,1,7,2,6,1,1544,1336,,770,556,1228,.453,147,421,.349,285,428,.666,249,788,269,132,70,230,284
Wyoming,19,5,14,.263,-4.81,2.74,0,7,4,8,1,4,1154,1276,,775,395,965,.409,138,437,.316,226,321,.704,87,566,194,93,39,250,345
Xavier,17,12,5,.706,11.87,5.69,1,3,9,2,1,2,1228,1123,,695,448,1022,.438,107,360,.297,225,330,.682,197,661,247,110,67,240,304
Yale,15,11,4,.733,8.85,2.08,0,0,4,0,5,4,1130,935,,630,401,856,.468,129,357,.361,199,288,.691,122,594,249,88,62,209,219
Youngstown State,18,11,7,.611,-5.80,-4.55,4,1,8,1,3,6,1278,1224,,720,462,1098,.421,124,410,.302,230,340,.676,235,703,216,122,50,224,307
